datetime,SP15
2024-01-21 19:00:00,57.68271
2024-01-21 20:00:00,57.26022
2024-01-21 21:00:00,56.33443
2024-01-21 22:00:00,51.29541
2024-01-21 23:00:00,47.55341
2024-01-22 00:00:00,49.32659
2024-01-22 01:00:00,49.08331
2024-01-22 02:00:00,49.05043
2024-01-22 03:00:00,48.91815
2024-01-22 04:00:00,49.81953
2024-01-22 05:00:00,52.16622
2024-01-22 06:00:00,68.51729
2024-01-22 07:00:00,70.84095
2024-01-22 08:00:00,71.48717
2024-01-22 09:00:00,70.72794
2024-01-22 10:00:00,65.64294
2024-01-22 11:00:00,62.69593
2024-01-22 12:00:00,61.26228
2024-01-22 13:00:00,59.94733
2024-01-22 14:00:00,59.5319
2024-01-22 15:00:00,65.41
2024-01-22 16:00:00,72.2849
2024-01-22 17:00:00,76.16868
2024-01-22 18:00:00,73.38599
2024-01-22 19:00:00,71.34151
2024-01-22 20:00:00,64.48262
2024-01-22 21:00:00,62.96485
2024-01-22 22:00:00,50.59398
2024-01-22 23:00:00,49.70183
2024-01-23 00:00:00,43.58651
2024-01-23 01:00:00,43.09377
2024-01-23 02:00:00,43.13657
2024-01-23 03:00:00,42.69304
2024-01-23 04:00:00,43.16605
2024-01-23 05:00:00,50.31197
2024-01-23 06:00:00,62.22539
2024-01-23 07:00:00,61.8716
2024-01-23 08:00:00,48.99898
2024-01-23 09:00:00,42.95344
2024-01-23 10:00:00,36.43855
2024-01-23 11:00:00,34.33521
2024-01-23 12:00:00,27.29444
2024-01-23 13:00:00,22.02386
2024-01-23 14:00:00,24.86282
2024-01-23 15:00:00,39.33014
2024-01-23 16:00:00,61.07471
2024-01-23 17:00:00,64.78124
2024-01-23 18:00:00,64.34146
2024-01-23 19:00:00,63.16937
2024-01-23 20:00:00,62.90761
2024-01-23 21:00:00,62.71095
2024-01-23 22:00:00,54.2726
2024-01-23 23:00:00,49.09887
2024-01-24 00:00:00,48.89381
2024-01-24 01:00:00,48.59799
2024-01-24 02:00:00,48.4264
2024-01-24 03:00:00,48.36032
2024-01-24 04:00:00,50.15822
2024-01-24 05:00:00,63.15302
2024-01-24 06:00:00,69.73944
2024-01-24 07:00:00,66.1944
2024-01-24 08:00:00,49.06666
2024-01-24 09:00:00,44.64611
2024-01-24 10:00:00,42.17
2024-01-24 11:00:00,41.67311
2024-01-24 12:00:00,39.48709
2024-01-24 13:00:00,38.72844
2024-01-24 14:00:00,40.86939
2024-01-24 15:00:00,53.9712
2024-01-24 16:00:00,65.89411
2024-01-24 17:00:00,69.13646
2024-01-24 18:00:00,67.18899
2024-01-24 19:00:00,66.11388
2024-01-24 20:00:00,65.20339
2024-01-24 21:00:00,63.17386
2024-01-24 22:00:00,57.14442
2024-01-24 23:00:00,48.30497
2024-01-25 00:00:00,47.81616
2024-01-25 01:00:00,45.44481
2024-01-25 02:00:00,44.39681
2024-01-25 03:00:00,44.21434
2024-01-25 04:00:00,44.76148
2024-01-25 05:00:00,51.26182
2024-01-25 06:00:00,56.42545
2024-01-25 07:00:00,54.52598
2024-01-25 08:00:00,48.32306
2024-01-25 09:00:00,35.91013
2024-01-25 10:00:00,29.14987
2024-01-25 11:00:00,25.16042
2024-01-25 12:00:00,20.5939
2024-01-25 13:00:00,16.92441
2024-01-25 14:00:00,18.79896
2024-01-25 15:00:00,34.3326
2024-01-25 16:00:00,54.78662
2024-01-25 17:00:00,61.36089
2024-01-25 18:00:00,61.31679
2024-01-25 19:00:00,60.72658
2024-01-25 20:00:00,60.75718
2024-01-25 21:00:00,60.24787
2024-01-25 22:00:00,54.62042
2024-01-25 23:00:00,48.8907
2024-01-26 00:00:00,51.47554
2024-01-26 01:00:00,51.47011
2024-01-26 02:00:00,51.27683
2024-01-26 03:00:00,51.44195
2024-01-26 04:00:00,52.25355
2024-01-26 05:00:00,57.67903
2024-01-26 06:00:00,69.18022
2024-01-26 07:00:00,63.0315
2024-01-26 08:00:00,40.84913
2024-01-26 09:00:00,25.94138
2024-01-26 10:00:00,22.72921
2024-01-26 11:00:00,16.73489
2024-01-26 12:00:00,16.07908
2024-01-26 13:00:00,15.04863
2024-01-26 14:00:00,18.82965
2024-01-26 15:00:00,35.14875
2024-01-26 16:00:00,63.49582
2024-01-26 17:00:00,64.70146
2024-01-26 18:00:00,65.00659
2024-01-26 19:00:00,65.17857
2024-01-26 20:00:00,63.31267
2024-01-26 21:00:00,63.60636
2024-01-26 22:00:00,59.33261
2024-01-26 23:00:00,54.72681
2024-01-27 00:00:00,46.7507
2024-01-27 01:00:00,46.70902
2024-01-27 02:00:00,46.62547
2024-01-27 03:00:00,42.48455
2024-01-27 04:00:00,43.07564
2024-01-27 05:00:00,46.62134
2024-01-27 06:00:00,48.97853
2024-01-27 07:00:00,46.51904
2024-01-27 08:00:00,33.57164
2024-01-27 09:00:00,16.67509
2024-01-27 10:00:00,8.62147
2024-01-27 11:00:00,5.70152
2024-01-27 12:00:00,3.9979
2024-01-27 13:00:00,2.19051
2024-01-27 14:00:00,6.05922
2024-01-27 15:00:00,19.3839
2024-01-27 16:00:00,55.60547
2024-01-27 17:00:00,57.38514
2024-01-27 18:00:00,57.42187
2024-01-27 19:00:00,57.0769
2024-01-27 20:00:00,56.2554
2024-01-27 21:00:00,56.25747
2024-01-27 22:00:00,54.06748
2024-01-27 23:00:00,47.30283
2024-01-28 00:00:00,43.43995
2024-01-28 01:00:00,42.85202
2024-01-28 02:00:00,42.47043
2024-01-28 03:00:00,42.30087
2024-01-28 04:00:00,40.9716
2024-01-28 05:00:00,42.90817
2024-01-28 06:00:00,43.41973
2024-01-28 07:00:00,43.25904
2024-01-28 08:00:00,29.95573
2024-01-28 09:00:00,16.61436
2024-01-28 10:00:00,10.08867
2024-01-28 11:00:00,6.03068
2024-01-28 12:00:00,3.15101
2024-01-28 13:00:00,5.29153
2024-01-28 14:00:00,11.14777
2024-01-28 15:00:00,33.8987
2024-01-28 16:00:00,51.40395
2024-01-28 17:00:00,54.46521
2024-01-28 18:00:00,54.77045
2024-01-28 19:00:00,53.8812
2024-01-28 20:00:00,53.45103
2024-01-28 21:00:00,52.86175
2024-01-28 22:00:00,51.08738
2024-01-28 23:00:00,48.1477
2024-01-29 00:00:00,44.02297
