time_step,datetime,node,product,price,buy_qty,sell_qty,commitment_mw,pnl
840,2024-02-04 23:00:00,TH_SP15_GEN-APND,Spin,0.61765,0.0,0.0,0.944271909999158,0.5832295452109799
840,2024-02-04 23:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
840,2024-02-04 23:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
841,2024-02-05 00:00:00,TH_SP15_GEN-APND,SP15,46.93879,0.0,0.0,0.0,0.0
841,2024-02-05 00:00:00,TH_SP15_GEN-APND,RegUp,3.1223400000000003,0.0,0.0,0.944271909999158,2.9483379554667715
841,2024-02-05 00:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
841,2024-02-05 00:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
841,2024-02-05 00:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
842,2024-02-05 01:00:00,TH_SP15_GEN-APND,SP15,46.54664,0.0,0.0,0.0,0.0
842,2024-02-05 01:00:00,TH_SP15_GEN-APND,RegUp,2.35976,0.0,0.0,0.944271909999158,2.2282550823396132
842,2024-02-05 01:00:00,TH_SP15_GEN-APND,Spin,0.71131,0.0,0.0,0.944271909999158,0.6716700523015011
842,2024-02-05 01:00:00,TH_SP15_GEN-APND,RegDown,4.8511,0.0,0.0,10.0,48.510999999999996
842,2024-02-05 01:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
843,2024-02-05 02:00:00,TH_SP15_GEN-APND,SP15,44.59158,0.0,0.0,0.0,0.0
843,2024-02-05 02:00:00,TH_SP15_GEN-APND,RegUp,2.02654,0.0,0.0,0.944271909999158,1.9136047964896934
843,2024-02-05 02:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
843,2024-02-05 02:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
843,2024-02-05 02:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
844,2024-02-05 03:00:00,TH_SP15_GEN-APND,SP15,44.96133,0.0,0.0,0.0,0.0
844,2024-02-05 03:00:00,TH_SP15_GEN-APND,RegUp,1.99844,0.0,0.0,0.944271909999158,1.8870707558187174
844,2024-02-05 03:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
844,2024-02-05 03:00:00,TH_SP15_GEN-APND,RegDown,4.92742,0.0,0.0,10.0,49.27419999999999
844,2024-02-05 03:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
845,2024-02-05 04:00:00,TH_SP15_GEN-APND,SP15,46.2079,0.0,0.0,0.0,0.0
845,2024-02-05 04:00:00,TH_SP15_GEN-APND,RegUp,3.27622,0.0,0.0,0.944271909999158,3.0936425169774413
845,2024-02-05 04:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
845,2024-02-05 04:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
845,2024-02-05 04:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
846,2024-02-05 05:00:00,TH_SP15_GEN-APND,SP15,48.4836,0.0,0.0,0.0,0.0
846,2024-02-05 05:00:00,TH_SP15_GEN-APND,RegUp,3.32181,0.0,0.0,0.944271909999158,3.136691873354303
846,2024-02-05 05:00:00,TH_SP15_GEN-APND,Spin,0.64182,0.0,0.0,0.944271909999158,0.6060525972756595
846,2024-02-05 05:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
846,2024-02-05 05:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
847,2024-02-05 06:00:00,TH_SP15_GEN-APND,SP15,54.10728,0.0,0.0,0.0,0.0
847,2024-02-05 06:00:00,TH_SP15_GEN-APND,RegUp,3.17364,0.0,0.0,0.944271909999158,2.9967791044497276
847,2024-02-05 06:00:00,TH_SP15_GEN-APND,Spin,0.63858,0.0,0.0,0.944271909999158,0.6029931562872624
847,2024-02-05 06:00:00,TH_SP15_GEN-APND,RegDown,5.58305,0.0,0.0,10.0,55.8305
847,2024-02-05 06:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
848,2024-02-05 07:00:00,TH_SP15_GEN-APND,SP15,56.00199,0.0,0.0,0.0,0.0
848,2024-02-05 07:00:00,TH_SP15_GEN-APND,RegUp,2.81,0.0,0.0,0.944271909999158,2.653404067097634
848,2024-02-05 07:00:00,TH_SP15_GEN-APND,Spin,1.11157,0.0,0.0,0.944271909999158,1.049624326997764
848,2024-02-05 07:00:00,TH_SP15_GEN-APND,RegDown,6.08251,0.0,0.0,10.0,60.8251
848,2024-02-05 07:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
849,2024-02-05 08:00:00,TH_SP15_GEN-APND,SP15,52.05365,0.0,0.0,0.0,0.0
849,2024-02-05 08:00:00,TH_SP15_GEN-APND,RegUp,2.92298,0.0,0.0,0.944271909999158,2.7600879074893387
849,2024-02-05 08:00:00,TH_SP15_GEN-APND,Spin,1.5,0.0,0.0,0.944271909999158,1.416407864998737
849,2024-02-05 08:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
849,2024-02-05 08:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
850,2024-02-05 09:00:00,TH_SP15_GEN-APND,SP15,51.60196,0.0,0.0,0.0,0.0
850,2024-02-05 09:00:00,TH_SP15_GEN-APND,RegUp,5.0,0.0,0.0,0.944271909999158,4.72135954999579
850,2024-02-05 09:00:00,TH_SP15_GEN-APND,Spin,1.5,0.0,0.0,0.944271909999158,1.416407864998737
850,2024-02-05 09:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
850,2024-02-05 09:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
851,2024-02-05 10:00:00,TH_SP15_GEN-APND,SP15,44.1993,0.0,0.0,0.0,0.0
851,2024-02-05 10:00:00,TH_SP15_GEN-APND,RegUp,2.73,0.0,0.0,0.944271909999158,2.5778623142977013
851,2024-02-05 10:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
851,2024-02-05 10:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
851,2024-02-05 10:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
852,2024-02-05 11:00:00,TH_SP15_GEN-APND,SP15,43.31843,0.0,0.0,0.0,0.0
852,2024-02-05 11:00:00,TH_SP15_GEN-APND,RegUp,2.81407,0.0,0.0,0.944271909999158,2.6572472537713305
852,2024-02-05 11:00:00,TH_SP15_GEN-APND,Spin,0.4440699999999999,0.0,0.0,0.944271909999158,0.419322827073326
852,2024-02-05 11:00:00,TH_SP15_GEN-APND,RegDown,5.08908,0.0,0.0,10.0,50.8908
852,2024-02-05 11:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
853,2024-02-05 12:00:00,TH_SP15_GEN-APND,SP15,42.9517,0.0,0.0,0.0,0.0
853,2024-02-05 12:00:00,TH_SP15_GEN-APND,RegUp,1.37375,0.0,0.0,0.944271909999158,1.2971935363613434
853,2024-02-05 12:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
853,2024-02-05 12:00:00,TH_SP15_GEN-APND,RegDown,5.21437,0.0,0.0,10.0,52.143699999999995
853,2024-02-05 12:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
854,2024-02-05 13:00:00,TH_SP15_GEN-APND,SP15,43.41645,0.0,0.0,0.0,0.0
854,2024-02-05 13:00:00,TH_SP15_GEN-APND,RegUp,4.97945,0.0,0.0,0.944271909999158,4.7019547622453075
854,2024-02-05 13:00:00,TH_SP15_GEN-APND,Spin,1.5,0.0,0.0,0.944271909999158,1.416407864998737
854,2024-02-05 13:00:00,TH_SP15_GEN-APND,RegDown,5.13644,0.0,0.0,10.0,51.3644
854,2024-02-05 13:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
855,2024-02-05 14:00:00,TH_SP15_GEN-APND,SP15,44.22321,0.0,0.0,0.0,0.0
855,2024-02-05 14:00:00,TH_SP15_GEN-APND,RegUp,3.87,0.0,0.0,0.944271909999158,3.6543322916967416
855,2024-02-05 14:00:00,TH_SP15_GEN-APND,Spin,1.5,0.0,0.0,0.944271909999158,1.416407864998737
855,2024-02-05 14:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
855,2024-02-05 14:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
856,2024-02-05 15:00:00,TH_SP15_GEN-APND,SP15,54.16455,0.0,0.0,0.0,0.0
856,2024-02-05 15:00:00,TH_SP15_GEN-APND,RegUp,3.87,0.0,0.0,0.944271909999158,3.6543322916967416
856,2024-02-05 15:00:00,TH_SP15_GEN-APND,Spin,1.5,0.0,0.0,0.944271909999158,1.416407864998737
856,2024-02-05 15:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
856,2024-02-05 15:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
857,2024-02-05 16:00:00,TH_SP15_GEN-APND,SP15,61.82047,0.0,0.0,0.0,0.0
857,2024-02-05 16:00:00,TH_SP15_GEN-APND,RegUp,3.17811,0.0,0.0,0.944271909999158,3.000999999887424
857,2024-02-05 16:00:00,TH_SP15_GEN-APND,Spin,0.45,0.0,0.0,0.944271909999158,0.4249223594996211
857,2024-02-05 16:00:00,TH_SP15_GEN-APND,RegDown,11.29,0.0,0.0,10.0,112.89999999999999
857,2024-02-05 16:00:00,TH_SP15_GEN-APND,NonSpin,0.4,0.0,0.0,0.944271909999158,0.37770876399966324
858,2024-02-05 17:00:00,TH_SP15_GEN-APND,SP15,63.35677,0.0,0.0,0.0,0.0
858,2024-02-05 17:00:00,TH_SP15_GEN-APND,RegUp,3.3079,0.0,0.0,0.944271909999158,3.1235570510862147
858,2024-02-05 17:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
858,2024-02-05 17:00:00,TH_SP15_GEN-APND,RegDown,6.38826,0.0,0.0,10.0,63.8826
858,2024-02-05 17:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
859,2024-02-05 18:00:00,TH_SP15_GEN-APND,SP15,62.0172,0.0,0.0,0.0,0.0
859,2024-02-05 18:00:00,TH_SP15_GEN-APND,RegUp,2.39922,0.0,0.0,0.944271909999158,2.26551605190818
859,2024-02-05 18:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
859,2024-02-05 18:00:00,TH_SP15_GEN-APND,RegDown,7.7851,0.0,0.0,10.0,77.851
859,2024-02-05 18:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
860,2024-02-05 19:00:00,TH_SP15_GEN-APND,SP15,59.29891,0.0,0.0,0.0,0.0
860,2024-02-05 19:00:00,TH_SP15_GEN-APND,RegUp,1.09831,0.0,0.0,0.944271909999158,1.0371032814711751
860,2024-02-05 19:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
860,2024-02-05 19:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
860,2024-02-05 19:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
861,2024-02-05 20:00:00,TH_SP15_GEN-APND,SP15,58.6959,0.0,0.0,0.0,0.0
861,2024-02-05 20:00:00,TH_SP15_GEN-APND,RegUp,1.21123,0.0,0.0,0.944271909999158,1.14373046554828
861,2024-02-05 20:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
861,2024-02-05 20:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
861,2024-02-05 20:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
862,2024-02-05 21:00:00,TH_SP15_GEN-APND,SP15,57.93802,0.0,0.0,0.0,0.0
862,2024-02-05 21:00:00,TH_SP15_GEN-APND,RegUp,1.28183,0.0,0.0,0.944271909999158,1.2103960623942207
862,2024-02-05 21:00:00,TH_SP15_GEN-APND,Spin,0.98861,0.0,0.0,0.944271909999158,0.9335166529442676
862,2024-02-05 21:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
862,2024-02-05 21:00:00,TH_SP15_GEN-APND,NonSpin,0.98861,0.0,0.0,0.944271909999158,0.9335166529442676
863,2024-02-05 22:00:00,TH_SP15_GEN-APND,SP15,49.7329,0.0,0.0,0.0,0.0
863,2024-02-05 22:00:00,TH_SP15_GEN-APND,RegUp,5.0,0.0,0.0,0.944271909999158,4.72135954999579
863,2024-02-05 22:00:00,TH_SP15_GEN-APND,Spin,0.91,0.0,0.0,0.944271909999158,0.8592874380992338
863,2024-02-05 22:00:00,TH_SP15_GEN-APND,RegDown,5.185379999999999,0.0,0.0,10.0,51.85379999999999
863,2024-02-05 22:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
864,2024-02-05 23:00:00,TH_SP15_GEN-APND,SP15,48.77154,0.0,0.0,0.0,0.0
864,2024-02-05 23:00:00,TH_SP15_GEN-APND,RegUp,5.0,0.0,0.0,0.944271909999158,4.72135954999579
